,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-afv,Python
49,ml-agm,Python
50,ml-aim,Python
51,ml-all-pairs,Python
52,ml-ane-transformers,Python
53,ml-aspanformer,Python
54,ml-aura,Python
55,ml-autofocusformer,Python
56,ml-autofocusformer-segmentation,Python
57,ml-batchquant,Python
58,ml-behavioral-testing-for-mt,
59,ml-calibration,Jupyter Notebook
60,ml-capsules-inverted-attention-routing,Python
61,ml-cifar-10-faster,Python
62,ml-code-switched-speech-translation,Python
63,ml-codeswitching-translations,
64,ml-collegial-ensembles,Python
65,ml-core,Python
66,ml-covid-mobility,R
67,ml-cread,Python
68,ml-cvnets,Python
69,ml-cvpr2019-swd,Python
70,ml-dab,Python
71,ml-data-parameters,Python
72,ml-delphi,
73,ml-destseg,Python
74,ml-direct2.5,Python
75,ml-dms-dataset,Python
76,ml-dprecs,Jupyter Notebook
77,ml-dr,Python
78,ml-duet,Python
79,ml-entity-deduction-arena,Python
80,ml-entropy-reconstruction,Python
81,ml-envmapnet,Python
82,ml-equivariant-neural-rendering,Jupyter Notebook
83,ml-facelit,Python
84,ml-famae,Python
85,ml-fastvit,Python
86,ml-fct,Python
87,ml-ferret,Python
88,ml-finerecon,Python
89,ml-flair,Jupyter Notebook
90,ml-gaudi,
91,ml-gmpi,Python
92,ml-gsn,Python
93,ml-hd-gist,Python
94,ml-heart-rate-models,Python
95,ml-hierarchical-confusion-matrix,TypeScript
96,ml-hugs,Python
97,ml-hypersim,Python
98,ml-interspeech2022-phi_rtn,
99,ml-jointnet,Python
100,ml-keyframer,JavaScript
101,ml-kge,Python
102,ml-knowledge-conflicts,Python
103,ml-live-pose,
104,ml-llarp,Python
105,ml-lucid-datagen,Python
106,ml-mdm,Python
107,ml-mgie,Python
108,ml-mia-bench,Jupyter Notebook
109,ml-mkqa,Python
110,ml-mobileclip,Python
111,ml-mobileone,Swift
112,ml-mofi,Python
113,ml-multiple-futures-prediction,Python
114,ml-ncg,Python
115,ml-neilf,Python
116,ml-neilfpp,Python
117,ml-neuman,Python
118,ml-no-token-left-behind,Jupyter Notebook
119,ml-np-rasp,Python
120,ml-nvas3d,Python
121,ml-ogen,Python
122,ml-pgdvs,Python
123,ml-planner,Python
124,ml-pointconvformer,Python
125,ml-pointersect,Python
126,ml-probabilistic-attention,Python
127,ml-projunit,Python
128,ml-qrecc,Python
129,ml-quant,Python
130,ml-recurrent-drafter,Python
131,ml-reed,Python
132,ml-rlgrad,Python
133,ml-robust-expert-augmentations,Python
134,ml-rpm-bench,Python
135,ml-sad,Python
136,ml-selfcond,Python
137,ml-shuffling-amplification,Python
138,ml-sigma-reparam,Python
139,ml-spatial-librispeech,
140,ml-spin,Python
141,ml-stable-diffusion,Python
142,ml-stabledreamer,
143,ml-stuttering-events-dataset,Python
144,ml-superposition-prompting,Python
145,ml-symphony,Svelte
146,ml-tic-clip,Python
147,ml-tract,Python
148,ml-transcript-translation-consistency-ratings,
149,ml-translate-vis,TypeScript
150,ml-tree-dst,Python
151,ml-tune-mode-convbn,Python
152,ml-tweak,Python
153,ml-upscale,Jupyter Notebook
154,ml-uwac,Python
155,ml-veclip,Jupyter Notebook
156,ml-vfi-smiff,Python
157,ml-vfm-kt,
158,ml-vision-transformers-ane,Python
159,music-feed-examples,Java
160,openjdk,Java
161,password-manager-resources,JavaScript
162,pfl-research,Jupyter Notebook
163,pkl,Java
164,pkl-evolution,
165,pkl-go,Go
166,pkl-go-examples,Go
167,pkl-intellij,Kotlin
168,pkl-jvm-examples,Groovy
169,pkl-k8s,Pkl
170,pkl-k8s-examples,
171,pkl-lang.org,JavaScript
172,pkl-lsp,Pkl
173,pkl-neovim,Scheme
174,pkl-package-docs,Kotlin
175,pkl-pantry,Pkl
176,pkl-project-commons,
177,pkl-spring,Java
178,pkl-swift,Swift
179,pkl-swift-examples,Swift
180,pkl-vscode,TypeScript
181,pkl.tmbundle,
182,pytorch-speech-features,Python
183,rules_pkl,Starlark
184,sample-backyard-birds,Swift
185,sample-cloudkit-coredatasync,Swift
186,sample-cloudkit-encryption,Swift
187,sample-cloudkit-privatedb,Swift
188,sample-cloudkit-privatedb-sync,Swift
189,sample-cloudkit-queries,Swift
190,sample-cloudkit-sharing,Swift
191,sample-cloudkit-sync-engine,Swift
192,sample-cloudkit-tooling,JavaScript
193,sample-cloudkit-zonesharing,Swift
194,sample-food-truck,Swift
195,servicetalk,Java
196,swift-3-api-guidelines-review,Swift
197,swift-algorithms,Swift
198,swift-aoc-starter-example,Swift
199,swift-argument-parser,Swift
200,swift-asn1,Swift
201,swift-async-algorithms,Swift
202,swift-async-dns-resolver,Swift
203,swift-atomics,Swift
204,swift-cassandra-client,Swift
205,swift-certificates,Swift
206,swift-clang,C++
207,swift-clang-tools-extra,C++
208,swift-cluster-membership,Swift
209,swift-cmake-examples,CMake
210,swift-collections,Swift
211,swift-collections-benchmark,Swift
212,swift-compiler-rt,C
213,swift-corelibs-foundation,C
214,swift-corelibs-libdispatch,C
215,swift-crypto,C
216,swift-distributed-actors,Swift
217,swift-distributed-tracing,Swift
218,swift-distributed-tracing-baggage-core,Swift
219,swift-distributed-tracing-extras,Swift
220,swift-embedded-examples,Swift
221,swift-evolution-staging,Swift
222,swift-for-wasm-examples,Swift
223,swift-foundation,Swift
224,swift-foundation-icu,C
225,swift-getting-started-cli,Swift
226,swift-getting-started-package-library,Swift
227,swift-homomorphic-encryption,Swift
228,swift-homomorphic-encryption-protobuf,
229,swift-http-structured-headers,Swift
230,swift-http-types,Swift
231,swift-internals,HTML
232,swift-issues,
233,swift-libcxx,C++
234,swift-llbuild2,Swift
235,swift-lldb,C++
236,swift-llvm,LLVM
237,swift-log,Swift
238,swift-matter-examples,Swift
239,swift-metrics,Swift
240,swift-metrics-extras,Swift
241,swift-migration-guide,Markdown
242,swift-mmio,Swift
243,swift-nio,Swift
244,swift-nio-examples,Swift
245,swift-nio-extras,Swift
246,swift-nio-http2,Swift
247,swift-nio-imap,Swift
248,swift-nio-nghttp2-support,Swift
249,swift-nio-ssh,Swift
250,swift-nio-ssl,C
251,swift-nio-ssl-support,Swift
252,swift-nio-transport-services,Swift
253,swift-nio-zlib-support,Swift
254,swift-numerics,Swift
255,swift-openapi-generator,Swift
256,swift-openapi-runtime,Swift
257,swift-openapi-urlsession,Swift
258,swift-playdate-examples,Swift
259,swift-protobuf,Swift
260,swift-protobuf-plugin,
261,swift-protobuf-test-conformance,
262,swift-sample-distributed-actors-transport,Swift
263,swift-service-context,Swift
264,swift-service-discovery,Swift
265,swift-standard-library-preview,Swift
266,swift-statsd-client,Swift
267,swift-string-processing-benchmarks,Swift
268,swift-system,Swift
269,swift-tools-support-async,Swift
270,swift-xcode-playground-support,Swift
271,swiftpm-on-llbuild2,Swift
272,tensorflow_macos,Shell
273,tree-sitter-pkl,C
274,turicreate,C++
275,unityplugins,C#
276,VideoFlashingReduction,Mathematica
277,vqg-multimodal-assistant,Python
